node,gene_name,mutant,phenotype,key
AURKB,AURKB,Y,N,N
ABL1,ABL1,N,Y,Y
AKT1,AKT1,N,Y,Y
AKT2,AKT2,N,Y,Y
ATM,ATM,N,Y,N
CDC7,CDC7,N,Y,N
CDK1,CDK1,N,Y,N
CDK2,CDK2,N,Y,N
CSNK1A1,CSNK1A1,N,Y,N
CSNK2A1,CSNK2A1,N,Y,N
CSNK2A2,CSNK2A2,N,Y,N
JAK2,JAK2,N,Y,N
LATS1,LATS1,N,Y,N
LATS2,LATS2,N,Y,N
MAP2K1,MAP2K1,N,Y,Y
MAPK1,MAPK1,N,Y,Y
MAPK3,MAPK3,N,Y,Y
MAPK9,MAPK9,N,Y,Y
MTOR,MTOR,N,Y,Y
NDRG1,NDRG1,N,Y,N
PDK1,PDK1,N,Y,N
PIM2,PIM2,N,Y,N
PRKACA,PRKACA,N,Y,N
PRKCH,PRKCH,N,Y,N
RET,RET,N,Y,N
RPS6KA1,RPS6KA1,N,Y,N
RPS6KB1,RPS6KB1,N,Y,Y
RPS6KB2,RPS6KB2,N,Y,N
SGK1,SGK1,N,Y,N
EGF,EGF,Y,N,Y
PIK3CA,PIK3CA,Y,N,Y
CDKN2A,CDKN2A,Y,N,Y
SRC,SRC,N,N,Y
AKT3,AKT3,N,N,Y
ATR,ATR,N,N,Y
BRAF,BRAF,Y,N,Y
CAMK2A,CAMK2A,N,N,Y
CAMK2B,CAMK2B,N,N,Y
CAMK2D,CAMK2D,N,N,Y
KRAS,KRAS,Y,N,Y
PGR,PGR,Y,N,Y
ERBB2,ERBB2,Y,N,Y
TP53,TP53,Y,N,Y
CD44,CD44,N,N,Y
CDK4,CDK4,N,N,Y
CDK6,CDK6,N,N,Y
EGFR,EGFR,N,N,Y
GSK3A,GSK3A,N,N,Y
GSK3B,GSK3B,N,N,Y
MAP2K2,MAP2K2,N,N,Y
MAPK14,MAPK14,N,N,Y
MAPK10,MAPK10,N,N,Y
MAPK8,MAPK8,N,N,Y
PIK3CB,PIK3CB,N,N,Y
PIK3CD,PIK3CD,N,N,Y
PIK3CG,PIK3CG,N,N,Y
PRKCA,PRKCA,N,N,Y
PRKCB,PRKCB,N,N,Y
PRKCG,PRKCG,N,N,Y
PRKDC,PRKDC,N,N,Y
ROCK1,ROCK1,N,N,Y
ROCK2,ROCK2,N,N,Y
Apoptosis,Apoptosis,N,Y,N
Proliferation,Proliferation,N,Y,N
ADCY1,ADCY1,N,N,Y
CCND1,CCND1,N,N,Y
CDKN1A,CDKN1A,N,N,Y
EIF2AK2,EIF2AK2,N,N,Y
ESR1,ESR1,N,N,Y
GNAQ,GNAQ,N,N,Y
GNAS,GNAS,N,N,Y
GPER1,GPER1,N,N,Y
GRB2,GRB2,N,N,Y
HES1,HES1,N,N,Y
HSP90AA1,HSP90AA1,N,N,Y
IGF1R,IGF1R,N,N,Y
JAG1,JAG1,N,Y,Y
KIT,KIT,Y,N,N
LEF1,LEF1,N,N,Y
PAK1,PAK1,N,N,Y
PDGFRB,PDGFRB,Y,N,N
PKM,PKM,N,Y,N
PLCB1,PLCB1,N,N,Y
PRKCD,PRKCD,N,N,Y
PTPN1,PTPN1,N,N,Y
RAF1,RAF1,N,N,Y
RB1,RB1,N,N,Y
STAT3,STAT3,N,N,Y
MIB1,MIB1,N,N,N
NEURL1,NEURL1,N,N,N
CDK5,CDK5,N,N,N
